rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
1,NYY,20,147,665620,Deivi Garcia,13,1.02,60.0,42,23,22,19,85,7,180,232,,3.30,0,0,0,6,2,ALL (3)
1,SD,20,135,669022,MacKenzie Gore,7,0.98,21.1,14,5,3,7,34,0,64,84,,1.27,0,0,0,0,1,ROK
1,OAK,21,133,666200,Jesus Luzardo,12,0.92,43.1,35,9,8,5,48,2,130,171,,1.66,0,0,0,2,1,ALL (3)
1,CIN,20,113,668881,Hunter Greene,3,2.08,4.1,8,7,6,1,6,0,13,21,,12.46,0,0,0,0,1,ROK
1,MIA,21,146,664350,Sixto Sanchez,18,0.96,95.0,73,35,32,18,84,2,285,375,,3.03,0,0,0,5,7,ALL (2)
1,PIT,23,134,656605,Mitch Keller,23,1.00,116.0,84,43,39,32,116,7,348,464,,3.03,0,0,0,8,5,ALL (3)
1,TOR,23,141,663878,Nate Pearson,8,0.60,20.0,7,2,2,5,26,0,60,71,,0.90,0,0,0,0,0,ALL (2)
2,CWS,23,145,656629,Michael Kopech,25,1.17,134.1,92,50,43,65,172,6,403,550,,2.88,0,0,0,9,8,ALL (2)
2,TB,23,139,656713,Brendan McKay,6,0.75,20.0,10,4,4,5,21,3,60,73,,1.80,0,0,0,1,0,A(Short)
2,OAK,24,133,640462,A.J. Puk,27,1.25,125.0,108,62,56,48,184,3,375,533,,4.03,0,0,2,6,10,ALL (2)
2,HOU,21,117,666215,Forrest Whitley,23,1.21,92.1,78,30,29,34,143,5,277,380,,2.83,0,0,1,5,4,ALL (3)
2,LA,22,119,669160,Dustin May,25,1.15,134.0,127,63,54,27,128,8,402,566,,3.63,0,0,0,9,6,ALL (2)
2,PHI,22,143,658431,Adonis Medina,22,1.19,119.2,103,47,40,39,133,7,359,505,,3.01,0,0,0,4,9,A(Full)
2,DET,21,116,666159,Matt Manning,14,1.29,51.0,41,21,18,25,62,0,153,218,,3.18,0,0,0,4,2,ALL (2)
2,CLE,22,114,663474,Triston McKenzie,25,1.05,143.0,105,62,55,45,186,14,429,568,,3.46,0,0,0,12,6,A(Adv)
3,TEX,20,140,668968,Hans Crouse,10,0.70,20.0,7,2,1,7,30,1,60,74,,0.45,0,0,0,0,0,ROK
3,MIL,24,158,641409,Zack Brown,22,1.25,110.0,102,39,38,36,107,8,330,451,,3.11,0,0,0,7,5,ALL (2)
3,BOS,20,111,667356,Bryan Mata,17,1.31,77.0,75,34,32,26,74,3,231,326,,3.74,0,0,0,5,6,A(Full)
3,ATL,21,144,666120,Ian Anderson,20,1.35,83.0,69,30,29,43,101,0,249,355,,3.14,0,0,0,4,5,A(Full)
3,SD,19,135,672715,Luis Patino,13,1.09,56.0,43,19,14,18,58,2,168,228,,2.25,0,0,0,4,2,ALL (2)
3,MIN,21,142,660813,Brusdar Graterol,10,0.98,40.0,26,12,12,13,45,2,120,157,,2.70,0,0,0,4,1,ALL (2)
3,BAL,20,110,669084,DL Hall,5,1.94,10.1,10,9,8,10,12,1,31,49,,6.97,0,0,0,0,0,ROK
3,CLE,22,114,663531,Logan Allen,24,1.22,125.0,109,45,41,44,142,3,375,524,,2.95,0,0,0,7,9,ALL (2)
4,CIN,22,113,663574,Tony Santillan,25,1.25,128.0,104,57,48,56,128,9,384,533,,3.38,0,0,0,9,8,A(Full)
4,CHC,20,112,666622,Brailyn Marquez,11,1.41,44.0,50,34,27,12,52,3,132,199,,5.52,0,0,0,2,1,ROK
4,NYY,21,147,661563,Luis Gil,14,1.22,41.2,31,15,12,20,49,2,125,177,,2.59,0,0,0,0,2,ROK
4,PHI,23,143,675921,Spencer Howard,9,1.41,28.1,22,15,14,18,40,0,85,123,,4.45,0,0,0,1,1,A(Short)
4,MIN,20,142,666364,Jordan Balazovic,10,1.66,40.1,47,25,22,20,29,5,121,183,,4.91,0,0,0,1,3,ROK
4,WAS,25,120,640444,Wil Crowe,9,1.03,24.1,21,8,8,4,17,3,73,96,,2.96,0,0,0,0,0,ALL (2)
4,ATL,23,144,657140,Kyle Wright,9,1.00,17.0,11,5,5,6,18,0,51,68,,2.65,0,0,0,0,1,ALL (2)
5,HOU,22,117,650556,Bryan Abreu,8,1.70,29.1,29,27,26,21,40,4,88,135,,7.98,0,0,0,1,3,ROK
5,CWS,24,145,641540,Dane Dunning,26,1.15,144.0,127,64,47,38,168,15,432,605,,2.94,0,0,0,8,8,ALL (2)
5,TB,24,139,641703,Brent Honeywell Jr.,26,1.24,136.2,134,58,53,35,172,12,410,568,,3.49,0,0,0,13,9,ALL (2)
5,BOS,23,111,656557,Tanner Houck,10,1.30,22.1,21,14,9,8,25,0,67,98,,3.63,0,0,0,0,3,A(Short)
5,SF,22,137,657277,Logan Webb,15,1.18,28.0,26,10,9,7,31,1,84,117,,2.89,0,2,0,2,0,A(Short)
5,LA,25,119,664062,Tony Gonsolin,42,1.24,70.0,69,32,30,18,85,7,210,292,,3.86,6,1,3,7,6,ALL (2)
5,CHC,24,112,640470,Adbert Alzolay,22,1.10,114.1,92,41,38,34,108,8,343,463,,2.99,0,0,0,7,4,ALL (2)
5,SEA,23,136,643290,Justin Dunn,20,1.56,95.1,101,66,53,48,75,5,286,433,,5.00,0,1,0,5,6,A(Adv)
6,TEX,24,140,643478,Joe Palumbo,3,0.59,13.2,4,3,1,4,22,0,41,50,,0.66,0,0,0,1,0,A(Adv)
6,DET,21,116,658530,Franklin Perez,19,1.14,86.1,71,33,29,27,78,6,259,355,,3.02,3,0,0,6,3,ALL (2)
6,ATL,21,144,669060,Bryse Wilson,26,1.04,137.0,105,45,38,37,139,8,411,546,,2.50,0,0,0,10,7,A(Full)
6,BOS,21,111,666130,Jay Groome,14,1.43,55.1,49,38,35,30,72,6,166,243,,5.69,0,0,0,3,9,ALL (2)
6,ARI,25,109,641541,Jon Duplantier,25,0.98,136.0,91,26,21,42,165,6,408,527,,1.39,0,0,0,12,3,ALL (2)
6,NYY,24,147,642528,Jonathan Loaisiga,11,0.61,32.2,17,7,5,3,33,1,98,120,,1.38,0,0,0,1,1,ALL (3)
6,TB,20,139,669358,Shane Baz,10,1.69,23.2,26,12,10,14,19,2,71,105,,3.80,0,0,0,0,3,ROK
6,PHI,19,143,672839,Francisco Morales,10,1.31,41.1,34,18,14,20,44,1,124,180,,3.05,0,0,0,3,2,ROK
6,SD,20,135,670970,Adrian Morejon,13,1.29,63.0,65,28,27,16,58,4,189,266,,3.86,0,0,0,3,4,ALL (2)
7,PHI,23,143,660853,Enyel De Los Santos,26,1.19,150.0,131,69,63,48,138,12,450,617,,3.78,0,0,0,10,6,AA
7,TEX,23,140,656271,Brock Burke,23,1.20,123.1,112,52,41,36,108,6,370,511,,2.99,0,0,0,11,6,ALL (2)
7,HOU,23,117,663959,Tyler Ivey,12,1.46,38.1,42,26,24,14,44,2,115,171,,5.63,0,0,0,0,3,ALL (2)
7,ATL,21,144,666205,Kyle Muller,11,1.28,47.2,43,24,22,18,49,5,143,207,,4.15,0,0,0,1,1,ROK
7,MIA,21,146,665795,Edward Cabrera,13,1.40,35.2,42,27,21,8,32,1,107,165,,5.30,0,0,0,1,3,A(Short)
7,NYM,24,121,656849,David Peterson,3,1.36,3.2,4,1,1,1,6,0,11,16,,2.45,0,0,0,0,0,A(Short)
7,NYY,23,147,656061,Albert Abreu,14,1.18,53.1,45,23,20,18,61,3,160,221,,3.38,0,0,0,2,3,ALL (3)
