rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
1,CLE,21,114,Nolan Jones,666134,427,69,121,21,0,19,.405,.871,.466,66,89,131,2,1,188,199,.283,3B,ALL (2)
1,LA,21,119,Gavin Lux,666158,463,85,150,27,8,15,.399,.913,.514,57,57,88,13,9,186,238,.324,SS,ALL (2)
1,BOS,19,111,Triston Casas,671213,4,0,0,0,0,0,.200,.200,.000,0,1,2,0,0,1,0,.000,3B,ROK
1,PHI,23,143,Alec Bohm,664761,139,17,35,6,2,0,.335,.659,.324,17,12,23,3,0,70,45,.252,3B,ALL (3)
1,CHC,22,112,Nico Hoerner,663538,49,10,16,2,2,2,.450,1.021,.571,6,9,4,6,1,20,28,.327,SS,ALL (3)
1,NYM,18,121,Ronny Mauricio,677595,227,32,62,16,3,3,.304,.714,.410,35,13,40,2,6,99,93,.273,SS,ALL (2)
1,MIL,19,158,Brice Turang,668930,159,37,45,6,1,1,.396,.748,.352,18,31,34,14,2,81,56,.283,SS,ALL (2)
1,COL,23,115,Brendan Rodgers,663898,426,54,114,27,2,17,.330,.790,.460,67,31,92,12,3,166,196,.268,SS,ALL (2)
1,TB,18,139,Wander Franco,677551,242,46,85,10,7,11,.418,1.005,.587,57,27,19,4,3,113,142,.351,SS,ROK
1,SEA,20,136,Jarred Kelenic,672284,220,42,63,10,6,6,.371,.839,.468,42,26,50,15,1,115,103,.286,OF,ALL (2)
1,ATL,20,144,Cristian Pache,665506,473,56,132,23,6,9,.307,.717,.410,47,20,97,7,8,151,194,.279,CF,ALL (2)
1,MIN,20,142,Royce Lewis,668904,483,83,141,29,3,14,.352,.803,.451,74,43,84,28,8,196,218,.292,SS,ALL (2)
1,STL,19,138,Nolan Gorman,669357,237,49,69,13,1,17,.380,.950,.570,44,34,76,1,5,96,135,.291,3B,ALL (2)
1,ANA,20,108,Jo Adell,666176,396,83,115,32,4,20,.355,.898,.543,77,32,111,15,3,163,215,.290,OF,ALL (3)
1,HOU,22,117,Kyle Tucker,663656,471,96,144,29,4,24,.378,.915,.537,97,54,97,21,5,205,253,.306,LF,ALL (2)
1,SF,22,137,Joey Bart,663698,204,38,60,15,3,13,.364,.952,.588,40,13,47,2,1,101,120,.294,C,ALL (2)
1,CWS,22,145,Luis Robert,673357,186,31,50,11,3,0,.333,.693,.360,17,12,52,15,4,76,67,.269,CF,ALL (3)
1,WAS,22,120,Carter Kieboom,666198,493,84,138,31,1,16,.357,.801,.444,69,58,109,9,2,201,219,.280,SS,ALL (2)
1,ARI,19,109,Alek Thomas,677950,246,50,82,14,6,2,.395,.858,.463,27,24,37,12,5,88,114,.333,OF,ALL (2)
2,SF,20,137,Heliot Ramos,671218,485,61,119,24,8,11,.313,.709,.396,52,35,136,8,7,192,192,.245,OF,A(Full)
2,TB,23,139,Brendan McKay,656713,192,32,41,8,1,6,.368,.727,.359,39,44,52,0,0,100,69,.214,LHP,ALL (3)
2,TEX,21,140,Sam Huff,669087,415,53,100,22,3,18,.292,.731,.439,55,23,140,9,1,185,182,.241,C,A(Full)
2,TOR,19,141,Jordan Groshans,677954,186,21,55,13,0,5,.353,.799,.446,43,15,37,0,0,97,83,.296,SS,ALL (2)
2,MIN,21,142,Alex Kirilloff,666135,512,75,178,44,7,20,.392,.970,.578,101,38,86,4,3,203,296,.348,RF,ALL (2)
2,WAS,19,120,Luis Garcia,671277,500,82,149,21,6,7,.336,.742,.406,54,31,82,12,6,198,203,.298,SS,ALL (2)
2,SD,21,135,Taylor Trammell,666211,397,71,110,19,4,8,.375,.781,.406,41,58,105,25,10,167,161,.277,LF,A(Adv)
2,PIT,22,134,Ke'Bryan Hayes,663647,437,64,128,31,7,7,.375,.819,.444,47,57,84,12,5,185,194,.293,3B,AA
2,STL,20,138,Dylan Carlson,666185,423,68,104,22,3,11,.348,.738,.390,62,62,88,8,3,221,165,.246,CF,ALL (2)
2,BOS,24,111,Bobby Dalbec,666915,455,73,117,35,3,32,.361,.919,.558,109,66,176,3,1,216,254,.257,3B,ALL (2)
2,CHC,20,112,Miguel Amaya,665804,414,54,106,21,2,12,.349,.752,.403,52,50,91,1,0,202,167,.256,C,A(Full)
2,NYY,21,147,Estevan Florial,664314,325,55,92,19,4,6,.377,.799,.422,35,48,92,16,10,112,137,.283,CF,ALL (3)
2,MIL,21,158,Tristen Lutz,669157,444,63,109,33,3,13,.321,.742,.421,63,46,139,9,3,187,187,.245,OF,A(Full)
2,ANA,21,108,Brandon Marsh,669016,503,85,134,27,7,10,.359,.767,.408,70,73,158,14,4,224,205,.266,OF,ALL (2)
2,ARI,18,109,Kristian Robinson,677565,222,48,62,12,0,7,.363,.791,.428,41,27,67,12,8,130,95,.279,OF,ALL (2)
2,ATL,20,144,Drew Waters,671221,460,72,135,39,9,9,.343,.819,.476,39,29,105,23,5,135,219,.293,OF,ALL (2)
3,HOU,19,117,Freudis Nova,671265,146,21,45,3,1,6,.331,.797,.466,28,6,21,9,5,56,68,.308,SS,ROK
3,LA,21,119,Keibert Ruiz,660688,377,44,101,14,0,12,.328,.729,.401,47,26,33,0,1,164,151,.268,C,AA
3,SEA,18,136,Julio Rodriguez,677594,219,50,69,13,9,5,.404,.929,.525,36,30,40,10,0,93,115,.315,OF,ROK
3,ANA,19,108,Jordyn Adams,677941,105,13,28,6,3,0,.361,.742,.381,13,14,30,5,3,46,40,.267,OF,ALL (2)
3,MIA,21,146,Jesus Sanchez,660821,457,70,129,32,2,11,.324,.757,.433,75,26,92,7,4,218,198,.282,CF,ALL (2)
3,PIT,20,134,Oneil Cruz,665833,402,66,115,25,7,14,.343,.831,.488,59,34,100,11,5,158,196,.286,3B,A(Full)
3,COL,21,115,Colton Welker,666213,454,74,151,32,0,13,.383,.872,.489,82,42,103,5,1,180,222,.333,3B,A(Adv)
3,STL,24,138,Andrew Knizner,668800,335,42,105,18,0,7,.368,.798,.430,45,27,48,0,1,152,144,.313,C,ALL (2)
3,CIN,22,113,Jonathan India,663697,150,29,36,9,1,6,.380,.813,.433,23,28,44,6,1,64,65,.240,3B,ALL (3)
3,OAK,24,133,Sean Murphy,669221,270,54,77,27,2,8,.361,.850,.489,43,26,50,3,0,130,132,.285,C,ALL (3)
3,TB,21,139,Vidal Brujan,660644,475,112,152,25,7,9,.403,.862,.459,53,63,68,55,19,148,218,.320,2B,ALL (2)
3,CHC,19,112,Brennen Davis,680695,57,9,17,2,0,0,.431,.764,.333,3,10,12,6,1,17,19,.298,OF,ROK
3,NYM,21,121,Andres Gimenez,665926,445,62,125,29,5,6,.347,.756,.409,46,31,92,38,14,161,182,.281,SS,ALL (2)
4,BOS,23,111,Jarren Duran,680776,283,52,101,14,11,3,.394,.910,.516,35,16,48,24,10,83,146,.357,2B,ALL (2)
4,SEA,23,136,Evan White,657108,494,72,148,29,7,11,.371,.824,.453,66,52,108,4,3,215,224,.300,1B,ALL (2)
4,BAL,22,110,Ryan Mountcastle,663624,394,63,117,19,4,13,.341,.805,.464,59,26,79,2,0,183,183,.297,1B,AA
4,PIT,22,134,Travis Swaggerty,680552,201,28,48,10,2,5,.322,.705,.383,20,22,58,9,3,79,77,.239,OF,ALL (2)
4,STL,21,138,Elehuris Montero,660707,480,81,151,37,3,16,.371,.875,.504,82,38,103,3,0,210,242,.315,3B,ALL (2)
4,COL,20,115,Grant Lavigne,680693,206,45,72,13,2,6,.477,.996,.519,38,45,40,12,7,81,107,.350,1B,ROK
4,CWS,22,145,Nick Madrigal,663611,155,25,47,7,0,0,.353,.701,.348,16,7,5,8,6,52,54,.303,SS,ALL (3)
4,ARI,22,109,Seth Beer,666179,260,39,79,14,0,12,.389,.885,.496,42,25,49,1,1,114,129,.304,OF,ALL (3)
4,OAK,24,133,Jorge Mateo,622761,470,50,108,17,16,3,.280,.633,.353,45,29,139,25,10,237,166,.230,SS,AAA
4,MIA,21,146,Jazz Chisholm,665862,456,79,124,23,6,25,.329,.842,.513,70,39,149,17,4,195,234,.272,SS,ALL (2)
4,KC,21,118,Khalil Lee,666137,346,57,91,18,4,6,.382,.772,.390,51,59,103,16,5,150,135,.263,CF,ALL (2)
4,CLE,20,114,Tyler Freeman,671289,270,49,95,29,4,2,.405,.916,.511,38,8,22,14,3,107,138,.352,SS,A(Short)
4,MIL,24,158,Corey Ray,641999,532,86,127,32,7,27,.323,.800,.477,74,60,176,37,7,170,254,.239,CF,AA
5,ANA,19,108,Jeremiah Jackson,669236,173,26,44,10,5,7,.314,.805,.491,23,15,59,10,2,56,85,.254,SS,ALL (2)
5,SD,20,135,Xavier Edwards,669364,159,40,55,8,1,0,.453,.862,.409,16,31,25,22,1,44,65,.346,SS,ALL (2)
5,TEX,20,140,Leody Taveras,665750,521,65,128,16,7,5,.312,.644,.332,48,51,96,19,11,191,173,.246,CF,A(Adv)
5,PIT,20,134,Cal Mitchell,668751,443,55,124,29,3,10,.344,.771,.427,65,41,109,4,5,181,189,.280,OF,A(Full)
5,ARI,23,109,Daulton Varsho,662139,316,48,93,13,4,12,.367,.842,.475,45,30,72,19,3,129,150,.294,C,ALL (2)
5,PHI,18,143,Luis Garcia,677593,168,33,62,11,3,1,.433,.921,.488,32,15,21,12,8,63,82,.369,SS,ROK
5,CLE,19,114,Bo Naylor,666310,117,17,32,3,3,2,.381,.783,.402,17,21,28,5,1,57,47,.274,C,ROK
5,MIN,22,142,Trevor Larnach,663616,152,27,46,13,1,5,.390,.890,.500,26,21,28,3,0,62,76,.303,OF,ALL (2)
5,MIA,23,146,Isan Diaz,656371,431,63,100,23,5,13,.340,.739,.399,56,68,140,14,3,177,172,.232,SS,ALL (2)
5,DET,20,116,Isaac Paredes,670623,432,70,120,28,2,15,.359,.815,.456,70,51,76,2,0,190,197,.278,SS,ALL (2)
5,BAL,22,110,Yusniel Diaz,666783,354,59,101,15,5,11,.392,.841,.449,45,59,67,12,13,157,159,.285,CF,ALL (2)
6,LA,21,119,Jeter Downs,669023,455,63,117,23,2,13,.351,.753,.402,47,52,103,37,10,169,183,.257,SS,A(Full)
6,CWS,23,145,Steele Walker,667727,158,17,33,6,0,5,.271,.613,.342,21,10,37,6,2,70,54,.209,OF,ALL (3)
6,ANA,22,108,Jahmai Jones,663330,482,80,115,20,9,10,.337,.717,.380,55,67,114,24,4,184,183,.239,CF,ALL (2)
6,HOU,22,117,Abraham Toro,647351,474,70,117,35,3,16,.345,.780,.435,78,62,108,8,4,198,206,.247,3B,ALL (2)
6,BAL,24,110,Austin Hays,669720,310,40,73,14,2,12,.266,.676,.410,46,14,66,6,3,140,127,.235,RF,ALL (2)
6,MIL,22,158,Trent Grisham,663757,335,45,78,10,2,7,.356,.693,.337,31,63,87,11,3,159,113,.233,CF,AA
6,STL,19,138,Ivan Herrera,671056,116,23,39,6,4,1,.415,.898,.483,25,11,22,1,1,41,56,.336,C,ALL (2)
6,OAK,20,133,Nick Allen,669397,460,51,110,17,6,0,.301,.603,.302,34,34,85,24,8,226,139,.239,SS,A(Full)
6,CHC,19,112,Cole Roederer,680711,142,30,39,4,4,5,.354,.819,.465,24,18,37,13,4,60,66,.275,OF,ROK
6,COL,20,115,Ryan Vilade,668723,457,77,125,20,4,5,.353,.721,.368,44,49,96,17,13,159,168,.274,3B,A(Full)
