rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
1,NYY,20,147,665620,Deivi Garcia,14,0.95,74.0,50,25,21,20,105,5,222,296,,2.55,0,0,0,5,4,ALL (3)
1,SD,20,135,669022,MacKenzie Gore,16,1.30,60.2,61,35,30,18,74,5,182,261,,4.45,0,0,0,2,5,A(Full)
1,OAK,21,133,666200,Jesus Luzardo,23,1.09,109.1,89,37,35,30,129,7,328,442,,2.88,0,0,0,10,5,ALL (3)
1,CIN,20,113,668881,Hunter Greene,18,1.30,68.1,66,35,34,23,89,6,205,294,,4.48,0,0,0,3,7,A(Full)
1,MIA,21,146,664350,Sixto Sanchez,8,1.07,46.2,39,14,13,11,45,1,140,188,,2.51,0,0,0,4,3,A(Adv)
1,DET,22,116,663554,Casey Mize,5,1.17,13.2,13,6,6,3,14,2,41,55,,3.95,0,0,0,0,1,ALL (2)
1,PIT,23,134,656605,Mitch Keller,25,1.30,142.1,130,65,55,55,135,10,427,597,,3.48,0,0,0,12,4,ALL (3)
1,TOR,23,141,663878,Nate Pearson,1,3.00,1.2,5,3,2,0,1,1,5,10,,10.80,0,0,0,0,1,A(Adv)
2,CWS,23,145,656629,Michael Kopech,28,1.30,140.2,121,66,60,62,185,13,422,611,,3.84,0,0,0,8,8,ALL (2)
2,TB,23,139,656713,Brendan McKay,19,0.88,78.1,55,22,21,14,103,3,235,299,,2.41,0,0,0,5,2,ALL (3)
2,HOU,21,117,666215,Forrest Whitley,8,0.99,26.1,15,11,11,11,34,2,79,108,,3.76,0,0,0,0,2,AA
2,BAL,19,110,680570,Grayson Rodriguez,9,1.24,19.1,17,6,3,7,20,0,58,80,,1.40,0,0,0,0,2,ROK
2,LA,22,119,669160,Dustin May,23,1.11,132.2,118,56,50,29,122,9,398,552,,3.39,0,0,0,9,5,ALL (2)
2,PHI,22,143,658431,Adonis Medina,22,1.25,111.1,103,59,51,36,123,11,334,472,,4.12,0,0,0,10,4,A(Adv)
2,COL,22,115,669020,Ryan Rolison,9,0.79,29.0,15,8,6,8,34,2,87,109,,1.86,0,0,0,0,1,ROK
2,DET,21,116,666159,Matt Manning,22,1.20,117.2,90,45,43,51,154,7,353,488,,3.29,0,0,0,7,8,ALL (3)
2,CLE,22,114,663474,Triston McKenzie,16,1.00,90.2,63,31,27,28,87,8,272,362,,2.68,0,0,0,7,4,AA
3,TEX,20,140,668968,Hans Crouse,13,1.13,54.2,43,20,15,19,62,3,164,227,,2.47,0,0,0,5,3,ALL (2)
3,MIL,24,158,641409,Zack Brown,23,1.06,127.2,98,44,34,37,119,8,383,513,,2.40,0,0,0,9,1,ALL (2)
3,BOS,20,111,667356,Bryan Mata,17,1.61,72.0,58,33,28,58,61,1,216,327,,3.50,0,0,0,6,3,A(Adv)
3,ATL,21,144,666120,Ian Anderson,24,1.14,119.1,87,36,33,49,142,2,358,494,,2.49,0,0,0,4,7,ALL (2)
3,SD,19,135,672715,Luis Patino,17,1.07,83.1,65,25,20,24,98,1,250,330,,2.16,0,0,0,6,3,A(Full)
3,MIN,21,142,660813,Brusdar Graterol,19,1.15,102.0,89,34,31,28,107,3,306,419,,2.74,0,0,0,8,4,ALL (2)
3,KC,22,118,663738,Daniel Lynch,12,1.01,51.1,44,12,9,8,61,1,154,200,,1.58,0,0,0,5,1,ALL (2)
3,BAL,20,110,669084,DL Hall,22,1.17,94.1,68,31,22,42,100,6,283,391,,2.10,0,0,0,2,7,A(Full)
3,CLE,22,114,663531,Logan Allen,25,1.08,148.2,110,48,42,51,151,11,446,595,,2.54,0,0,0,14,6,ALL (2)
4,CIN,22,113,663574,Tony Santillan,26,1.23,149.0,146,58,51,38,134,13,447,629,,3.08,0,0,0,10,7,ALL (2)
