rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
9,ANA,22,108,663776,Patrick Sandoval,27,1.66,109.1,127,89,68,55,132,12,328,512,,5.60,0,0,0,4,10,ALL (3)
9,BAL,23,110,657508,Michael Baumann,24,1.05,124.0,85,43,41,45,142,4,372,492,,2.98,1,0,0,7,6,ALL (2)
9,SD,23,135,673258,Michel Baez,32,1.30,47.2,40,15,12,22,57,3,143,209,,2.27,1,0,0,4,3,ALL (2)
9,SF,20,137,671288,Seth Corry,27,1.07,122.2,73,35,24,58,172,4,368,508,,1.76,0,0,0,9,3,A(Full)
9,LA,24,119,669952,Mitchell White,23,1.30,93.2,91,55,53,31,105,16,281,395,,5.09,0,2,0,4,6,ALL (2)
9,CLE,18,114,682982,Daniel Espino,9,1.10,23.2,16,11,10,10,34,2,71,98,,3.80,0,0,0,0,3,ALL (2)
9,SEA,23,136,656954,Justus Sheffield,30,1.41,155.1,148,78,72,71,155,19,466,671,,4.17,0,0,0,7,10,ALL (3)
9,NYM,19,121,683181,Josh Wolf,5,1.25,8.0,9,4,3,1,12,0,24,33,,3.38,0,0,0,0,1,ROK
9,MIA,21,146,669432,Trevor Rogers,23,1.14,136.1,122,58,44,33,150,10,409,567,,2.90,0,0,0,6,10,ALL (2)
9,DET,23,116,656412,Alex Faedo,22,1.12,115.1,104,50,50,25,134,17,346,473,,3.90,0,0,0,6,7,AA
9,MIN,21,142,661395,Jhoan Duran,23,1.19,115.0,97,49,48,40,136,7,345,471,,3.76,0,0,0,5,12,ALL (2)
9,PHI,21,143,669062,Erik Miller,11,1.11,36.0,25,9,6,15,52,0,108,154,,1.50,0,0,0,1,0,ALL (3)
9,STL,22,138,650893,Genesis Cabrera,26,1.50,113.2,125,79,73,46,119,22,341,505,,5.78,1,0,1,5,8,ALL (2)
10,TOR,19,141,680572,Adam Kloffenstein,13,1.09,64.1,47,23,16,23,64,4,193,259,,2.24,0,0,0,4,4,A(Short)
10,BAL,23,110,675912,Zac Lowther,26,1.11,148.0,102,46,42,63,154,8,444,593,,2.55,0,0,0,13,7,AA
10,ATL,21,144,660623,Huascar Ynoa,28,1.58,100.1,113,65,61,46,113,17,301,460,,5.47,1,0,1,4,8,ALL (4)
10,PHI,22,143,668941,JoJo Romero,24,1.55,111.1,126,80,72,47,92,12,334,498,,5.82,0,0,0,7,9,ALL (2)
10,TB,22,139,663556,Shane McClanahan,24,1.21,120.2,101,51,45,45,154,7,362,504,,3.36,0,0,0,11,6,ALL (3)
10,ARI,21,109,675652,Matt Tabor,21,1.00,95.1,79,34,31,16,101,6,286,377,,2.93,0,0,0,5,4,A(Full)
10,LA,23,119,642701,Dennis Santana,30,1.77,98.1,117,88,76,57,111,17,295,471,,6.96,0,1,0,5,9,ALL (2)
10,ANA,20,108,667755,Jose Soriano,20,1.32,82.1,58,36,23,51,92,5,247,346,,2.51,0,0,0,5,7,ALL (2)
10,HOU,22,117,664299,Cristian Javier,26,0.97,113.2,51,25,22,59,170,7,341,456,,1.74,4,0,0,8,3,ALL (3)
10,DET,21,116,666214,Joey Wentz,25,1.24,128.2,110,63,60,49,137,16,386,534,,4.20,0,0,0,7,8,ALL (2)
11,SF,23,137,673858,Jake Wong,23,1.21,113.0,102,56,49,35,101,8,339,465,,3.90,0,0,0,5,3,ALL (2)
11,WAS,21,120,669091,Matt Cronin,17,1.00,22.0,11,3,2,11,41,1,66,85,,0.82,1,5,0,0,0,A(Full)
11,MIN,23,142,626929,Lewis Thorpe,28,1.24,115.0,113,62,60,30,138,14,345,481,,4.70,0,0,1,7,6,ALL (2)
11,NYM,22,121,663325,Kevin Smith,23,1.26,117.0,108,42,41,39,130,6,351,478,,3.15,0,0,0,8,7,ALL (2)
11,ARI,22,109,656266,J.B. Bukauskas,22,1.62,92.2,91,63,56,59,109,8,278,416,,5.44,1,0,2,2,5,ALL (2)
11,CIN,23,113,661269,Vladimir Gutierrez,27,1.40,137.0,144,100,92,48,117,26,411,610,,6.04,0,0,0,6,11,AAA
11,HOU,23,117,656232,Brandon Bielak,23,1.22,121.2,98,57,57,50,119,13,365,500,,4.22,0,0,0,11,4,ALL (2)
11,TB,18,139,683101,JJ Goss,9,1.24,17.0,19,11,11,2,16,1,51,71,,5.82,0,0,0,1,3,ROK
11,CHC,24,112,657006,Justin Steele,11,1.68,38.2,45,24,24,20,42,3,116,170,,5.59,0,0,0,0,6,AA
11,MIL,19,158,681520,Antoine Kelly,10,1.11,31.2,26,10,10,9,45,2,95,125,,2.84,0,0,0,0,1,ALL (2)
11,BAL,24,110,669211,Keegan Akin,25,1.51,112.1,109,64,59,61,131,10,337,503,,4.73,0,1,0,6,7,AAA
11,TOR,19,141,683086,Kendall Williams,6,0.81,16.0,6,4,2,7,19,0,48,63,,1.13,0,0,0,0,0,ROK
12,MIN,20,142,669416,Blayne Enlow,21,1.27,110.2,103,55,47,38,95,8,332,476,,3.82,0,0,0,8,7,ALL (2)
12,OAK,24,133,641726,Daulton Jefferies,26,1.04,79.0,73,34,30,9,93,8,237,319,,3.42,0,0,1,2,2,ALL (2)
12,ATL,25,144,622256,Patrick Weigel,28,1.15,79.0,50,28,24,41,71,9,237,328,,2.73,0,0,0,6,2,ALL (2)
12,CIN,19,113,680689,Lyon Richardson,26,1.41,112.2,126,66,52,33,106,10,338,497,,4.15,0,0,0,3,9,A(Full)
12,NYM,23,121,663378,Thomas Szapucki,21,1.22,61.2,49,24,18,26,72,2,185,264,,2.63,0,0,0,1,3,ALL (3)
12,HOU,24,117,664353,Jose Urquidy,27,1.13,135.0,126,72,68,27,168,23,405,560,,4.53,0,0,0,8,6,ALL (3)
12,STL,21,138,670912,Johan Oviedo,29,1.53,146.2,149,79,77,76,163,10,440,655,,4.73,0,0,0,12,8,ALL (2)
12,ANA,22,108,650347,Luis Madero,24,1.54,105.2,132,67,59,31,98,11,317,477,,5.03,0,0,0,6,11,ALL (2)
12,ARI,23,109,656686,Corbin Martin,14,1.52,56.2,56,27,25,30,64,10,170,250,,3.97,0,0,0,3,2,ALL (2)
