rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
1,CLE,21,114,Nolan Jones,666134,430,81,117,22,3,15,.409,.851,.442,63,96,148,7,3,197,190,.272,3B,ALL (2)
1,BAL,21,110,Adley Rutschman,668939,130,19,33,8,1,4,.351,.774,.423,26,20,27,1,0,56,55,.254,C,ALL (3)
1,LA,21,119,Gavin Lux,666158,483,103,165,27,8,27,.416,1.014,.598,77,64,107,10,6,154,289,.342,SS,ALL (3)
1,BOS,19,111,Triston Casas,671213,429,66,110,26,5,20,.350,.830,.480,81,58,118,3,2,209,206,.256,3B,ALL (2)
1,PHI,23,143,Alec Bohm,664761,475,76,145,30,4,21,.378,.896,.518,80,57,73,6,4,157,246,.305,3B,ALL (3)
1,CHC,22,112,Nico Hoerner,663538,299,41,88,17,4,3,.354,.762,.408,26,24,33,8,4,125,122,.294,SS,ALL (3)
1,NYM,18,121,Ronny Mauricio,677595,470,62,126,20,5,4,.307,.664,.357,37,23,99,6,10,143,168,.268,SS,A(Full)
1,MIL,19,158,Brice Turang,668930,473,82,121,19,6,3,.367,.707,.340,37,83,101,30,5,164,161,.256,SS,ALL (2)
1,COL,23,115,Brendan Rodgers,663898,219,42,67,12,1,9,.365,.858,.493,28,18,54,0,0,76,108,.306,SS,ALL (2)
1,TEX,21,140,Josh Jung,673962,174,23,55,14,1,2,.389,.832,.443,28,18,32,4,1,75,77,.316,3B,ALL (2)
1,TB,18,139,Wander Franco,677551,425,82,139,27,7,9,.398,.885,.487,53,56,35,18,14,177,207,.327,SS,ALL (2)
1,SEA,20,136,Jarred Kelenic,672284,443,80,129,31,5,23,.364,.904,.540,68,50,111,20,7,154,239,.291,OF,ALL (3)
1,ATL,20,144,Cristian Pache,665506,487,63,135,36,9,12,.340,.802,.462,61,43,122,8,11,188,225,.277,CF,ALL (2)
1,MIN,20,142,Royce Lewis,668904,517,73,122,26,4,12,.290,.661,.371,49,38,123,22,10,209,192,.236,SS,ALL (2)
1,STL,19,138,Nolan Gorman,669357,456,65,113,30,6,15,.326,.765,.439,62,45,152,2,1,190,200,.248,3B,ALL (2)
1,ANA,20,108,Jo Adell,666176,305,54,88,27,0,10,.359,.834,.475,36,30,94,7,0,130,145,.289,OF,ALL (3)
1,HOU,22,117,Kyle Tucker,663656,488,96,130,29,3,35,.352,.905,.553,102,61,124,31,5,236,270,.266,LF,ALL (2)
1,SF,22,137,Joey Bart,663698,313,46,87,14,3,16,.328,.823,.495,48,21,71,5,4,134,155,.278,C,ALL (2)
1,KC,19,118,Bobby Witt Jr.,677951,164,30,43,2,5,1,.317,.671,.354,27,13,35,9,1,85,58,.262,SS,ROK
1,CWS,22,145,Luis Robert,673357,503,108,165,31,11,32,.376,1.000,.624,92,28,129,36,11,186,314,.328,CF,ALL (3)
1,WAS,22,120,Carter Kieboom,666198,451,83,130,24,3,18,.393,.868,.475,81,72,116,5,2,203,214,.288,SS,ALL (2)
1,ARI,19,109,Alek Thomas,677950,447,76,134,23,7,10,.379,.829,.450,55,52,105,15,11,185,201,.300,OF,ALL (2)
2,SF,20,137,Heliot Ramos,671218,389,64,113,24,1,16,.369,.850,.481,55,42,118,8,10,151,187,.290,OF,ALL (2)
2,TB,23,139,Brendan McKay,656713,150,19,29,4,0,5,.293,.613,.320,19,18,52,1,1,69,48,.193,LHP,ALL (3)
2,TEX,21,140,Sam Huff,669087,475,71,132,22,2,28,.335,.844,.509,72,33,154,6,6,195,242,.278,C,ALL (2)
2,TOR,19,141,Jordan Groshans,677954,83,12,28,6,0,2,.427,.909,.482,13,13,21,1,1,34,40,.337,SS,A(Full)
2,MIN,21,142,Alex Kirilloff,666135,375,47,106,18,2,9,.343,.756,.413,43,29,76,7,6,153,155,.283,RF,AA
2,NYM,19,121,Brett Baty,683146,188,37,44,16,2,7,.368,.820,.452,33,35,65,0,0,83,85,.234,3B,ALL (3)
2,WAS,19,120,Luis Garcia,671277,525,66,135,22,4,4,.280,.617,.337,30,17,86,11,5,175,177,.257,SS,AA
2,SD,21,135,Taylor Trammell,666211,436,61,102,12,4,10,.340,.689,.349,43,67,122,20,8,200,152,.234,LF,ALL (2)
2,PIT,22,134,Ke'Bryan Hayes,663647,436,65,114,31,2,10,.334,.745,.411,55,45,92,13,1,172,179,.261,3B,ALL (2)
2,STL,20,138,Dylan Carlson,666185,489,95,143,28,8,26,.372,.914,.542,68,58,116,20,8,164,265,.292,CF,ALL (2)
2,BOS,24,111,Bobby Dalbec,666915,472,69,113,19,2,27,.356,.816,.460,73,73,139,6,6,230,217,.239,3B,ALL (2)
2,MIA,21,146,JJ Bleday,668709,140,13,36,8,0,3,.311,.690,.379,19,11,29,0,0,59,53,.257,OF,A(Adv)
2,CHC,20,112,Miguel Amaya,665804,341,50,80,24,0,11,.351,.753,.402,57,54,69,2,0,171,137,.235,C,A(Adv)
2,NYY,21,147,Estevan Florial,664314,274,38,65,10,3,8,.297,.680,.383,38,24,98,9,5,101,105,.237,CF,A(Adv)
2,MIL,21,158,Tristen Lutz,669157,420,62,107,24,3,13,.335,.754,.419,54,46,137,3,2,228,176,.255,OF,A(Adv)
2,ANA,21,108,Brandon Marsh,669016,381,49,109,21,2,7,.367,.774,.407,45,47,100,19,5,146,155,.286,OF,ALL (2)
2,ARI,18,109,Kristian Robinson,677565,255,43,72,13,2,14,.368,.882,.514,51,31,77,17,5,128,131,.282,OF,ALL (2)
2,ATL,20,144,Drew Waters,671221,527,80,163,40,9,7,.360,.819,.459,52,39,164,16,6,188,242,.309,OF,ALL (2)
3,SF,18,137,Marco Luciano,682617,179,52,54,13,2,10,.417,.981,.564,42,32,45,9,6,75,101,.302,SS,ALL (2)
3,HOU,19,117,Freudis Nova,671265,282,35,73,20,1,3,.301,.670,.369,29,15,68,10,7,113,104,.259,SS,A(Full)
3,LA,21,119,Keibert Ruiz,660688,314,39,82,9,0,6,.331,.678,.347,34,30,22,0,0,141,109,.261,C,ALL (2)
3,DET,18,116,Riley Greene,682985,221,34,60,8,3,5,.347,.750,.403,28,22,63,5,0,95,89,.271,OF,ALL (3)
3,SEA,18,136,Julio Rodriguez,677594,328,63,107,26,4,12,.390,.930,.540,69,25,76,1,3,139,177,.326,OF,ALL (2)
3,ARI,19,109,Corbin Carroll,682998,154,36,46,9,7,2,.409,.896,.487,20,29,41,18,1,77,75,.299,CF,ALL (2)
3,ANA,19,108,Jordyn Adams,677941,420,63,108,17,3,8,.351,.720,.369,36,56,111,16,6,168,155,.257,OF,ALL (3)
3,MIA,21,146,Jesus Sanchez,660821,415,49,108,14,2,13,.325,.723,.398,63,39,100,5,4,196,165,.260,CF,ALL (3)
3,PIT,20,134,Oneil Cruz,665833,265,35,79,15,4,8,.356,.831,.475,34,24,74,11,4,97,126,.298,3B,ALL (3)
